event_id,event,sensor,file_name,min,max
S769210,FlashFlood,ir107,S769210_ir107_fi0_FlashFlood_2018_0701_1231.npz,-63.3599967956543,24.439998626708984
S778627,FlashFlood,ir107,S778627_ir107_fi4_FlashFlood_2018_0701_1231.npz,-76.94999694824219,14.609999656677246
S786332,FlashFlood,ir107,S786332_ir107_fi6_FlashFlood_2018_0701_1231.npz,-72.25,28.809999465942383
S771487,FlashFlood,ir107,S771487_ir107_fi9_FlashFlood_2018_0701_1231.npz,-78.54000091552734,28.579999923706055
S780574,FlashFlood,ir107,S780574_ir107_fi15_FlashFlood_2018_0701_1231.npz,-62.43000030517578,19.8799991607666
S776707,FlashFlood,ir107,S776707_ir107_fi18_FlashFlood_2018_0701_1231.npz,-71.56999969482422,18.219999313354492
S787165,FlashFlood,ir107,S787165_ir107_fi19_FlashFlood_2018_0701_1231.npz,-54.54999923706055,18.920000076293945
S788965,FlashFlood,ir107,S788965_ir107_fi20_FlashFlood_2018_0701_1231.npz,-71.93000030517578,21.709999084472656
S782058,Flood,ir107,S782058_ir107_fi27_Flood_2018_0701_1231.npz,-68.54000091552734,30.219999313354492
S774496,FlashFlood,ir107,S774496_ir107_fi32_FlashFlood_2018_0701_1231.npz,-53.91999816894531,23.689998626708984
S785583,Flood,ir107,S785583_ir107_fi45_Flood_2018_0701_1231.npz,-55.19999694824219,13.269999504089355
S802216,HeavyRain,ir107,S802216_ir107_fi51_HeavyRain_2018_0701_1231.npz,-60.90999984741211,3.18999981880188
S754937,FlashFlood,ir107,S754937_ir107_fi58_FlashFlood_2018_0701_1231.npz,-72.98999786376953,40.05999755859375
S776527,Flood,ir107,S776527_ir107_fi59_Flood_2018_0701_1231.npz,-74.11000061035156,19.969999313354492
S785499,FlashFlood,ir107,S785499_ir107_fi65_FlashFlood_2018_0701_1231.npz,-74.5199966430664,20.43000030517578
S763943,Flood,ir107,S763943_ir107_fi68_Flood_2018_0701_1231.npz,-72.95999908447266,28.59000015258789
S780379,FlashFlood,ir107,S780379_ir107_fi70_FlashFlood_2018_0701_1231.npz,-73.83999633789062,21.829999923706055
S784174,FlashFlood,ir107,S784174_ir107_fi76_FlashFlood_2018_0701_1231.npz,-62.46999740600586,19.229999542236328
S772806,FlashFlood,ir107,S772806_ir107_fi79_FlashFlood_2018_0701_1231.npz,-55.91999816894531,34.27000045776367
S787772,FlashFlood,ir107,S787772_ir107_fi81_FlashFlood_2018_0701_1231.npz,-70.12999725341797,18.149999618530273
S781170,FlashFlood,ir107,S781170_ir107_fi89_FlashFlood_2018_0701_1231.npz,-68.95999908447266,19.6299991607666
S775664,FlashFlood,ir107,S775664_ir107_fi97_FlashFlood_2018_0701_1231.npz,-80.6500015258789,24.34000015258789
S786131,FlashFlood,ir107,S786131_ir107_fi104_FlashFlood_2018_0701_1231.npz,-75.0199966430664,24.260000228881836
S788044,Flood,ir107,S788044_ir107_fi110_Flood_2018_0701_1231.npz,-63.619998931884766,19.399999618530273
S782931,FlashFlood,ir107,S782931_ir107_fi122_FlashFlood_2018_0701_1231.npz,-53.65999984741211,20.239999771118164
